tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58644.21127310023,"890211275715010007",1,890211275715,20.444,-1,890,1.34409,19.5916,18.898373,"",19.4262,"",0.299005,100,0.15790194,0.1767,"",244.0009028,22.2680526,0.457143,"t17_f5_c3","",19.6603,0.2767,"",false,true,false,"","bulk_1.0.0",0,903213275715010000
"ztf",58645.222870400175,"891222875715010008",1,891222875715,20.1018,-1,891,1.24925,19.7185,18.8369,"",19.438,"",0.32904,100,0.146086,0.2181,"",244.000909,22.2678893,0.478571,"t17_f5_c3","",19.313,0.2472,"",false,true,false,"","bulk_1.0.0",0,903213275715010000
"ztf",58647.214513900224,"893214515715010003",1,893214515715,19.9503,-1,893,1.31383,19.5874,18.900597,"",19.0456,"",0.3007,100,0.1597395,0.1908,"",244.0009155,22.2680548,0.541429,"t17_f5_c3","",18.872,0.2075,"",false,true,false,"","bulk_1.0.0",0,903213275715010000
"ztf",58650.211087999865,"896211085715010002",1,896211085715,19.5323,-1,896,1.43627,19.2895,"","",19.1934,"",0.353841,"","",0.3288,"",244.0008599,22.2679995,0.452857,"t17_f5_c3","",19.5744,0.5984,"",false,false,true,"","bulk_1.0.0",0,903213275715010000
"ztf",58653.27339120023,"899273395715010004",1,899273395715,19.7953,-1,899,1.19398,19.4787,18.963097,"",19.3746,"",0.313978,0.057816423,0.19527979,0.2787,"",244.0009338,22.267994,0.475714,"t17_f5_c3","",19.3391,0.3447,"",false,true,false,"","bulk_1.0.0",0,903213275715010000
"ztf",58657.21327550011,"903213275715010014",1,903213275715,20.820564,-1,903,1.3494052,19.496134,18.952393,"",19.2692,"",0.21509114,100,0.13035452,0.1153,"",244.000902,22.2680498,0.61,"t17_f5_c3",0.99732506,19.2047,0.1352,584120157,false,true,false,"","bulk_1.0.0",0,918300815715010000
"ztf",58660.20480319997,"906204805715010023",1,906204805715,21.0211,-1,906,1.28784,19.4471,18.983225,"",19.2243,"",0.249917,100,0.16302182,0.0997,"",244.0009154,22.268036,0.591429,"t17_f5_c3","",19.1752,0.1176,"",false,true,false,"","bulk_1.0.0",0,918300815715010000
"ztf",58666.211412000004,"912211415715010013",1,912211415715,20.8737,-1,912,1.28946,19.5087,18.944847,"",19.1712,"",0.295731,100,0.1759366,0.1042,"",244.0009069,22.2680075,0.32,"t17_f5_c3","",19.0785,0.119,"",false,true,false,"","bulk_1.0.0",0,918300815715010000
"ztf",58672.30081020016,"918300815715010017",1,918300815715,20.745874,-1,918,1.3772615,19.459072,18.975485,"",19.1153,"",0.18695734,100,0.11975891,0.0976,"",244.0008963,22.2680583,0.78,"t17_f5_c3",0.9999965,19.0617,0.1153,584120157,false,true,false,"","bulk_1.0.0",0,943206495715010000
"ztf",58674.20675930008,"920206755715010004",1,920206755715,20.1907,-1,920,1.31913,19.5881,18.900227,"",19.3811,"",0.26854,100,0.14251453,0.1944,"",244.000919,22.26807,0.58,"t17_f5_c3","",19.2592,0.2202,"",false,true,false,"","bulk_1.0.0",0,943206495715010000
